iteration,reward_mean,length_mean,games,loss
65500,-0.88,2.12,8,0.2631997764110565
66000,-1.0,2.0,9,0.28825438022613525
66500,-1.0,2.0,10,0.281015008687973
67000,-1.0,2.0,10,0.27771055698394775
67500,-1.0,2.0,9,0.25202488899230957
68000,-1.0,2.0,9,0.2753654718399048
68500,-0.89,2.11,9,0.25065183639526367
69000,-1.0,2.0,8,0.29154273867607117
69500,-1.0,2.0,11,0.30574923753738403
70000,-1.0,2.0,9,0.2777429521083832
70500,-1.0,2.0,10,0.2939586341381073
71000,-1.0,2.0,8,0.26942846179008484
71500,-1.0,2.0,9,0.27239322662353516
72000,-1.0,2.0,8,0.26293277740478516
72500,-1.0,2.0,10,0.26425957679748535
73000,-1.0,2.0,9,0.26372230052948
73500,-1.0,2.0,9,0.27550965547561646
74000,-1.0,2.0,8,0.29581066966056824
74500,-0.89,2.11,9,0.27374857664108276
75000,-1.0,2.0,8,0.284404993057251
75500,-1.0,2.0,8,0.26530659198760986
76000,-1.0,2.0,9,0.2695600092411041
76500,-0.8,2.2,10,0.279299795627594
77000,-1.0,2.0,8,0.3010733127593994
77500,-1.0,2.0,8,0.28189095854759216
78000,-0.88,2.12,8,0.28487446904182434
78500,-0.88,2.12,8,0.27834266424179077
79000,-1.0,2.0,8,0.26278936862945557
79500,-1.0,2.0,10,0.27660325169563293
80000,-0.9,2.1,10,0.26958492398262024
80500,-1.0,2.0,8,0.27467456459999084
81000,-1.0,2.0,8,0.2801424562931061
81500,-1.0,2.0,10,0.2834183871746063
82000,-0.92,2.08,12,0.27192389965057373
82500,-1.0,2.0,9,0.26899445056915283
83000,-1.0,2.0,10,0.2703634798526764
83500,-1.0,2.0,9,0.2833620607852936
84000,-1.0,2.0,9,0.2877841293811798
84500,-1.0,2.0,8,0.28866106271743774
85000,-1.0,2.0,8,0.2700931429862976
85500,-1.0,2.0,8,0.27979323267936707
86000,-1.0,2.0,10,0.2834983468055725
86500,-1.0,2.0,9,0.26654985547065735
87000,-1.0,2.0,8,0.2916679382324219
87500,-1.0,2.0,9,0.2515523135662079
88000,-1.0,2.0,9,0.26075828075408936
88500,-1.0,2.0,8,0.27449870109558105
89000,-1.0,2.0,8,0.2637158930301666
89500,-1.0,2.0,8,0.28568822145462036
90000,-0.89,2.11,9,0.2729661762714386
90500,-1.0,2.0,8,0.26375603675842285
91000,-1.0,2.0,9,0.26957881450653076
91500,-1.0,2.0,8,0.2557525336742401
92000,-1.0,2.0,11,0.2689647674560547
92500,-1.0,2.0,9,0.2593485116958618
93000,-1.0,2.0,9,0.2714519500732422
93500,-1.0,2.0,9,0.27399200201034546
94000,-1.0,2.0,11,0.25407513976097107
94500,-1.0,2.0,8,0.2868351638317108
95000,-1.0,2.0,11,0.270383358001709
95500,-1.0,2.0,8,0.2576339542865753
96000,-1.0,2.0,8,0.2635807991027832
96500,-1.0,2.0,10,0.26541638374328613
97000,-1.0,2.0,9,0.29094401001930237
97500,-1.0,2.0,8,0.27029475569725037
98000,-1.0,2.0,8,0.2719433307647705
98500,-1.0,2.0,9,0.2743152379989624
99000,-1.0,2.0,9,0.2903658151626587
99500,-1.0,2.0,8,0.2654363512992859
100000,-1.0,2.0,9,0.27215251326560974
100500,-0.91,2.09,11,0.3135678768157959
101000,-1.0,2.0,9,0.29824742674827576
101500,-1.0,2.0,10,0.281341552734375
102000,-1.0,2.0,9,0.26669803261756897
102500,-1.0,2.0,8,0.26722025871276855
103000,-0.88,2.12,8,0.2760098874568939
103500,-0.8,2.2,10,0.27489590644836426
104000,-1.0,2.0,8,0.2733583152294159
104500,-1.0,2.0,10,0.2719254791736603
105000,-1.0,2.0,8,0.29559725522994995
105500,-1.0,2.0,9,0.2954646348953247
106000,-1.0,2.0,9,0.26183241605758667
106500,-1.0,2.0,12,0.2804343104362488
107000,-1.0,2.0,10,0.261711061000824
107500,-1.0,2.0,9,0.27414223551750183
108000,-0.88,2.12,8,0.2556900680065155
108500,-1.0,2.0,9,0.24984371662139893
109000,-1.0,2.0,13,0.264739066362381
109500,-1.0,2.0,8,0.2655082643032074
110000,-1.0,2.0,9,0.24995525181293488
110500,-1.0,2.0,8,0.25286033749580383
111000,-1.0,2.0,12,0.2861487567424774
111500,-1.0,2.0,9,0.2741679549217224
112000,-1.0,2.0,10,0.2771584689617157
112500,-0.89,2.11,9,0.27319663763046265
113000,-1.0,2.0,8,0.28208649158477783
113500,-1.0,2.0,10,0.2553030252456665
114000,-1.0,2.0,8,0.2647760808467865
114500,-1.0,2.0,10,0.2732413113117218
115000,-1.0,2.0,9,0.28939229249954224
115500,-0.9,2.1,10,0.2614726722240448
116000,-1.0,2.0,8,0.27036768198013306
116500,-1.0,2.0,8,0.2696381211280823
117000,-0.82,2.18,11,0.2627898156642914
117500,-1.0,2.0,10,0.26620250940322876
118000,-1.0,2.0,11,0.2811409831047058
118500,-0.9,2.1,10,0.28468817472457886
119000,-1.0,2.0,9,0.2562587261199951
119500,-1.0,2.0,12,0.29128775000572205
120000,-1.0,2.0,10,0.29812732338905334
120500,-0.89,2.11,9,0.27614668011665344
121000,-1.0,2.0,8,0.25544503331184387
121500,-1.0,2.0,9,0.28017154335975647
122000,-1.0,2.0,8,0.26776111125946045
122500,-1.0,2.0,8,0.27593180537223816
123000,-1.0,2.0,10,0.27038732171058655
123500,-1.0,2.0,8,0.26170289516448975
124000,-1.0,2.0,10,0.2787773311138153
124500,-1.0,2.0,9,0.26489561796188354
125000,-1.0,2.0,10,0.27809253334999084
125500,-1.0,2.0,10,0.26647111773490906
126000,-1.0,2.0,9,0.27956423163414
126500,-1.0,2.0,10,0.2620755434036255
127000,-0.89,2.11,9,0.2850935459136963
127500,-1.0,2.0,10,0.28174635767936707
128000,-0.78,2.22,9,0.27302059531211853
128500,-1.0,2.0,10,0.24839025735855103
129000,-1.0,2.0,11,0.29775136709213257
129500,-0.92,2.08,12,0.287537544965744
130000,-1.0,2.0,8,0.2589251697063446
130500,-1.0,2.0,8,0.26110419631004333
131000,-1.0,2.0,8,0.27982276678085327
131500,-1.0,2.0,8,0.2533857524394989
132000,-0.91,2.09,11,0.2765601575374603
132500,-0.91,2.09,11,0.26734545826911926
133000,-1.0,2.0,8,0.30203890800476074
133500,-1.0,2.0,10,0.27463167905807495
134000,-1.0,2.0,8,0.2749924957752228
134500,-1.0,2.0,8,0.28220972418785095
135000,-1.0,2.0,10,0.2642047107219696
135500,-1.0,2.0,8,0.296546071767807
136000,-1.0,2.0,8,0.27987951040267944
136500,-1.0,2.0,9,0.25969022512435913
137000,-1.0,2.0,8,0.25827205181121826
137500,-1.0,2.0,8,0.2619702219963074
138000,-1.0,2.0,8,0.23743759095668793
138500,-1.0,2.0,8,0.27457430958747864
139000,-1.0,2.0,9,0.26643648743629456
139500,-1.0,2.0,10,0.2812410593032837
140000,-1.0,2.0,9,0.27967044711112976
140500,-0.89,2.11,9,0.26920419931411743
141000,-0.91,2.09,11,0.25584742426872253
141500,-0.8,2.2,10,0.2715429365634918
142000,-1.0,2.0,11,0.27441534399986267
142500,-1.0,2.0,8,0.2788930833339691
143000,-1.0,2.0,8,0.262393593788147
143500,-0.9,2.1,10,0.25810888409614563
144000,-1.0,2.0,10,0.2654619514942169
144500,-0.88,2.12,8,0.2938768267631531
145000,-1.0,2.0,9,0.24818462133407593
145500,-1.0,2.0,8,0.2808628976345062
146000,-1.0,2.0,10,0.2718692123889923
146500,-1.0,2.0,10,0.2597995698451996
147000,-1.0,2.0,8,0.27190616726875305
147500,-1.0,2.0,10,0.25859296321868896
148000,-1.0,2.0,8,0.2814598083496094
148500,-1.0,2.0,9,0.29431071877479553
149000,-1.0,2.0,9,0.269527405500412
149500,-0.88,2.12,8,0.27564311027526855
150000,-1.0,2.0,8,0.25722286105155945
150500,-1.0,2.0,9,0.27500906586647034
151000,-1.0,2.0,9,0.2579192817211151
151500,-1.0,2.0,8,0.28094929456710815
152000,-1.0,2.0,10,0.2891719937324524
152500,-1.0,2.0,8,0.2630420923233032
153000,-0.9,2.1,10,0.27988243103027344
153500,-1.0,2.0,8,0.28495869040489197
154000,-1.0,2.0,11,0.29397904872894287
154500,-0.88,2.12,8,0.26510342955589294
155000,-1.0,2.0,8,0.2515379786491394
155500,-1.0,2.0,9,0.27250275015830994
156000,-0.8,2.2,10,0.27060073614120483
156500,-1.0,2.0,8,0.2690871059894562
157000,-1.0,2.0,9,0.2787756621837616
157500,-1.0,2.0,11,0.2788860499858856
158000,-1.0,2.0,8,0.2671143412590027
158500,-1.0,2.0,9,0.2790365219116211
159000,-1.0,2.0,11,0.2896682024002075
159500,-1.0,2.0,10,0.2655332386493683
160000,-0.88,2.12,8,0.2825227677822113
160500,-1.0,2.0,10,0.27856916189193726
161000,-1.0,2.0,8,0.28387975692749023
161500,-0.78,2.22,9,0.2635159492492676
162000,-1.0,2.0,10,0.2641420364379883
162500,-1.0,2.0,8,0.27462875843048096
163000,-0.9,2.1,10,0.2777983844280243
163500,-1.0,2.0,10,0.2698894441127777
164000,-1.0,2.0,8,0.2807820737361908
164500,-1.0,2.0,8,0.26666897535324097
165000,-1.0,2.0,10,0.24689292907714844
165500,-0.88,2.12,8,0.27318984270095825
166000,-1.0,2.0,11,0.24941407144069672
166500,-0.9,2.1,10,0.2746743857860565
167000,-1.0,2.0,8,0.2712988257408142
167500,-0.88,2.12,8,0.28360405564308167
168000,-1.0,2.0,9,0.2828540802001953
168500,-1.0,2.0,11,0.26315584778785706
169000,-0.89,2.11,9,0.268582820892334
169500,-1.0,2.0,9,0.27875667810440063
170000,-1.0,2.0,8,0.27460581064224243
170500,-1.0,2.0,9,0.2601340711116791
171000,-1.0,2.0,8,0.24777206778526306
171500,-1.0,2.0,10,0.29245731234550476
172000,-1.0,2.0,9,0.2651980519294739
172500,-1.0,2.0,10,0.2755545377731323
173000,-0.88,2.12,8,0.2585941553115845
173500,-0.9,2.1,10,0.27355268597602844
174000,-1.0,2.0,8,0.3001169264316559
174500,-1.0,2.0,8,0.27305251359939575
175000,-1.0,2.0,8,0.2589186429977417
175500,-1.0,2.0,8,0.2617396414279938
176000,-1.0,2.0,8,0.26423969864845276
176500,-0.89,2.11,9,0.26676318049430847
177000,-1.0,2.0,8,0.2643499970436096
177500,-1.0,2.0,10,0.28152206540107727
178000,-1.0,2.0,9,0.25491175055503845
178500,-1.0,2.0,8,0.2944223880767822
179000,-1.0,2.0,8,0.24244968593120575
179500,-1.0,2.0,10,0.27400168776512146
180000,-0.91,2.09,11,0.2761935889720917
180500,-1.0,2.0,10,0.2651953101158142
181000,-1.0,2.0,8,0.277798593044281
181500,-1.0,2.0,11,0.27305668592453003
182000,-1.0,2.0,10,0.26290053129196167
182500,-1.0,2.0,9,0.25554776191711426
183000,-1.0,2.0,9,0.2712343633174896
183500,-0.88,2.12,8,0.27490776777267456
184000,-1.0,2.0,8,0.28572070598602295
184500,-1.0,2.0,9,0.26647838950157166
185000,-1.0,2.0,8,0.24503129720687866
185500,-1.0,2.0,8,0.2582550048828125
186000,-1.0,2.0,8,0.2618342936038971
186500,-0.75,2.25,8,0.26693785190582275
187000,-1.0,2.0,9,0.2911909520626068
187500,-1.0,2.0,8,0.27027973532676697
188000,-1.0,2.0,9,0.2664719820022583
188500,-1.0,2.0,8,0.2586005628108978
189000,-1.0,2.0,10,0.29470446705818176
189500,-1.0,2.0,8,0.2695133090019226
190000,-1.0,2.0,9,0.2783929407596588
190500,-1.0,2.0,10,0.2548027038574219
191000,-0.88,2.12,8,0.26245638728141785
191500,-1.0,2.0,11,0.2708389163017273
192000,-0.89,2.11,9,0.27101537585258484
192500,-1.0,2.0,9,0.2854449152946472
193000,-1.0,2.0,9,0.2844226062297821
193500,-1.0,2.0,10,0.2848740816116333
194000,-1.0,2.0,9,0.2762192487716675
194500,-1.0,2.0,10,0.2899058163166046
195000,-1.0,2.0,8,0.25854480266571045
195500,-0.88,2.12,8,0.2707517445087433
196000,-1.0,2.0,8,0.2693406939506531
196500,-1.0,2.0,8,0.27216169238090515
197000,-1.0,2.0,9,0.28225213289260864
197500,-1.0,2.0,9,0.2502342462539673
198000,-1.0,2.0,9,0.2835490107536316
198500,-1.0,2.0,10,0.2517096996307373
199000,-1.0,2.0,8,0.273668110370636
199500,-1.0,2.0,8,0.2615448534488678
200000,-1.0,2.0,10,0.2644723057746887
